"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"M&amp;M","EQ","26-Feb-2020","        508.95","        507.70","        512.45","        500.00","        502.75","        503.00","        505.89","    3058370","          1547183602.85","      47336","    1260428","         41.21"
"M&amp;M","EQ","27-Feb-2020","        503.00","        504.00","        504.00","        487.55","        496.00","        493.50","        492.92","    6039260","          2976849149.75","     142978","    2902900","         48.07"
"M&amp;M","EQ","28-Feb-2020","        493.50","        485.00","        485.00","        453.60","        457.00","        457.05","        470.41","    8613275","          4051783083.15","     153523","    3877985","         45.02"
"M&amp;M","EQ","02-Mar-2020","        457.05","        453.55","        472.45","        444.35","        461.90","        458.30","        460.01","    9225488","          4243793446.90","     119400","    2353793","         25.51"
"M&amp;M","EQ","03-Mar-2020","        458.30","        462.00","        471.00","        455.25","        470.00","        466.25","        463.41","    4582866","          2123764573.60","      60825","    1617456","         35.29"
"M&amp;M","EQ","04-Mar-2020","        466.25","        466.05","        477.00","        457.50","        473.40","        474.65","        466.89","    5912943","          2760695025.30","      92674","    2486422","         42.05"
"M&amp;M","EQ","05-Mar-2020","        474.65","        472.70","        482.50","        469.00","        478.45","        479.30","        477.30","    4081050","          1947865906.60","      44892","    1283787","         31.46"
"M&amp;M","EQ","06-Mar-2020","        479.30","        458.85","        473.75","        456.50","        470.70","        471.00","        466.55","    4502562","          2100652971.75","      59236","    1937003","         43.02"
"M&amp;M","EQ","09-Mar-2020","        471.00","        453.55","        465.70","        441.00","        465.00","        463.20","        457.17","    4540695","          2075851294.65","      94537","    1856405","         40.88"
"M&amp;M","EQ","11-Mar-2020","        463.20","        462.85","        469.65","        449.70","        450.65","        451.60","        459.98","    5104926","          2348158391.05","      97943","    1998327","         39.15"
"M&amp;M","EQ","12-Mar-2020","        451.60","        427.90","        435.95","        399.65","        421.70","        423.35","        420.29","    9408371","          3954269064.65","     127409","    4271311","         45.40"
"M&amp;M","EQ","13-Mar-2020","        423.35","        400.50","        449.75","        345.65","        445.35","        428.85","        417.25","    6230433","          2599619968.80","     123154","    2687488","         43.13"
"M&amp;M","EQ","16-Mar-2020","        428.85","        421.00","        428.60","        388.80","        394.80","        391.80","        401.99","    3156668","          1268951101.55","      61242","    1237004","         39.19"
"M&amp;M","EQ","17-Mar-2020","        391.80","        392.00","        408.00","        369.95","        376.35","        373.40","        391.56","    4526918","          1772561694.80","      84025","    1991426","         43.99"
"M&amp;M","EQ","18-Mar-2020","        373.40","        379.00","        383.70","        339.10","        345.30","        346.40","        357.74","    6596185","          2359710669.20","     148085","    3414073","         51.76"
"M&amp;M","EQ","19-Mar-2020","        346.40","        331.75","        331.80","        302.00","        316.25","        314.20","        315.87","   10486203","          3312301157.65","     144878","    5131262","         48.93"
"M&amp;M","EQ","20-Mar-2020","        314.20","        316.00","        328.20","        308.25","        321.30","        322.60","        319.03","    8819560","          2813668968.65","     117438","    4569984","         51.82"
"M&amp;M","EQ","23-Mar-2020","        322.60","        299.00","        303.90","        280.60","        299.75","        293.40","        290.80","    6001458","          1745195704.40","      98906","    3365118","         56.07"
"M&amp;M","EQ","24-Mar-2020","        293.40","        300.00","        309.90","        264.40","        270.00","        269.00","        284.20","    6695822","          1902966443.55","      94116","    3357303","         50.14"
"M&amp;M","EQ","25-Mar-2020","        269.00","        263.40","        288.35","        245.40","        274.25","        277.85","        270.31","    9393738","          2539191091.70","     139052","    4213121","         44.85"
"M&amp;M","EQ","26-Mar-2020","        277.85","        277.85","        294.00","        273.10","        286.00","        285.50","        283.67","    7557611","          2143901942.90","     100986","    3497981","         46.28"
"M&amp;M","EQ","27-Mar-2020","        285.50","        297.00","        305.00","        280.80","        295.00","        294.50","        290.27","    9505256","          2759126299.45","     124475","    4942531","         52.00"
"M&amp;M","EQ","30-Mar-2020","        294.50","        281.70","        284.85","        270.00","        277.00","        274.40","        276.14","    8942943","          2469540279.55","     129852","    4807530","         53.76"
"M&amp;M","EQ","31-Mar-2020","        274.40","        283.85","        287.20","        277.80","        284.45","        284.95","        283.89","    6236769","          1770558384.80","      85138","    3650874","         58.54"
"M&amp;M","EQ","01-Apr-2020","        284.95","        281.00","        283.00","        265.50","        274.60","        272.85","        272.12","    5980392","          1627386786.20","      92476","    2887951","         48.29"
"M&amp;M","EQ","03-Apr-2020","        272.85","        274.00","        290.00","        271.35","        281.40","        280.70","        283.35","    6961905","          1972670736.30","     111923","    2094060","         30.08"
"M&amp;M","EQ","07-Apr-2020","        280.70","        295.50","        323.80","        292.75","        319.00","        321.00","        310.90","   10795410","          3356297906.05","     152828","    4885131","         45.25"
"M&amp;M","EQ","08-Apr-2020","        321.00","        315.00","        350.40","        312.80","        327.50","        326.40","        333.07","    8451196","          2814812917.05","     195990","    2742216","         32.45"
"M&amp;M","EQ","09-Apr-2020","        326.40","        335.75","        391.65","        332.40","        383.50","        381.40","        358.63","   11027462","          3954805084.60","     199673","    3116278","         28.26"
"M&amp;M","EQ","13-Apr-2020","        381.40","        380.00","        380.00","        355.00","        362.35","        362.85","        364.64","    7717757","          2814239455.35","     129086","    1394333","         18.07"
"M&amp;M","EQ","15-Apr-2020","        362.85","        373.05","        379.90","        349.30","        351.20","        353.15","        360.26","   11300959","          4071252317.00","     181710","    3126966","         27.67"
"M&amp;M","EQ","16-Apr-2020","        353.15","        343.10","        360.45","        343.00","        356.50","        356.70","        353.45","    6155773","          2175775371.70","      99892","    2057726","         33.43"
"M&amp;M","EQ","17-Apr-2020","        356.70","        370.75","        370.75","        355.55","        363.00","        363.20","        362.13","    6178611","          2237433697.10","      80038","    1768406","         28.62"
"M&amp;M","EQ","20-Apr-2020","        363.20","        367.00","        367.45","        354.00","        354.05","        355.85","        358.25","    4834224","          1731842869.00","      76198","    2285946","         47.29"
"M&amp;M","EQ","21-Apr-2020","        355.85","        349.05","        349.05","        323.50","        330.00","        332.05","        332.69","    8003782","          2662759255.95","     167070","    3850271","         48.11"
"M&amp;M","EQ","22-Apr-2020","        332.05","        327.00","        345.75","        320.60","        338.00","        340.20","        337.66","    9073718","          3063827491.30","     170221","    3062988","         33.76"
"M&amp;M","EQ","23-Apr-2020","        340.20","        338.00","        349.65","        331.55","        345.90","        347.50","        341.11","    6738333","          2298531225.75","     115896","    2030876","         30.14"
"M&amp;M","EQ","24-Apr-2020","        347.50","        342.00","        344.75","        332.00","        333.00","        334.30","        338.88","    5755029","          1950279583.90","     119113","    2549916","         44.31"
"M&amp;M","EQ","27-Apr-2020","        334.30","        337.55","        343.35","        328.15","        331.55","        330.30","        334.99","    5770552","          1933059299.80","     102139","    2242071","         38.85"
"M&amp;M","EQ","28-Apr-2020","        330.30","        334.45","        338.00","        328.50","        337.00","        335.95","        332.92","    4244522","          1413077086.00","      56392","    1571305","         37.02"
"M&amp;M","EQ","29-Apr-2020","        335.95","        337.00","        351.80","        336.25","        349.00","        348.00","        346.33","    7748498","          2683527424.90","     121151","    3227750","         41.66"
"M&amp;M","EQ","30-Apr-2020","        348.00","        355.65","        368.00","        355.00","        367.55","        366.65","        363.75","    7422880","          2700090395.65","     124105","    2834196","         38.18"
"M&amp;M","EQ","04-May-2020","        366.65","        350.05","        362.40","        341.10","        361.10","        357.05","        350.73","    7125034","          2498970344.20","     145606","    3309544","         46.45"
"M&amp;M","EQ","05-May-2020","        357.05","        363.75","        381.80","        361.45","        368.50","        368.15","        372.43","   13401811","          4991201668.30","     182937","    3220905","         24.03"
"M&amp;M","EQ","06-May-2020","        368.15","        371.50","        393.00","        358.25","        388.00","        387.15","        376.58","    7015474","          2641893581.40","     148753","    1605985","         22.89"
"M&amp;M","EQ","07-May-2020","        387.15","        387.50","        403.45","        385.10","        401.40","        400.65","        396.10","   12971502","          5138017281.05","     190114","    4027332","         31.05"
"M&amp;M","EQ","08-May-2020","        400.65","        405.00","        407.90","        380.70","        386.00","        386.70","        390.69","    9445656","          3690306611.35","     127252","    2799880","         29.64"
"M&amp;M","EQ","11-May-2020","        386.70","        388.50","        402.00","        384.35","        387.90","        390.10","        393.43","    7658641","          3013125423.00","     161111","    1176423","         15.36"
"M&amp;M","EQ","12-May-2020","        390.10","        388.90","        395.20","        380.20","        394.25","        393.05","        386.43","    4686856","          1811143796.15","      88743","     891992","         19.03"
"M&amp;M","EQ","13-May-2020","        393.05","        415.00","        418.90","        404.25","        410.00","        413.05","        411.46","    7362761","          3029507381.15","     137227","    2458479","         33.39"
"M&amp;M","EQ","14-May-2020","        413.05","        401.50","        407.50","        396.00","        402.50","        400.45","        400.92","    4766174","          1910842733.30","      79776","     831961","         17.46"
"M&amp;M","EQ","15-May-2020","        400.45","        402.75","        403.95","        373.20","        381.85","        381.30","        382.93","   14226558","          5447830513.70","     195610","    4758044","         33.44"
"M&amp;M","EQ","18-May-2020","        381.30","        382.10","        383.50","        367.25","        375.00","        377.20","        375.42","    7717690","          2897357368.20","      87264","    2057002","         26.65"
"M&amp;M","EQ","19-May-2020","        377.20","        384.00","        391.00","        371.20","        383.00","        382.90","        385.05","    5950063","          2291098502.30","      74801","    1121463","         18.85"
"M&amp;M","EQ","20-May-2020","        382.90","        382.90","        413.70","        379.70","        404.75","        405.05","        398.60","   10608571","          4228545729.25","     139807","    2375430","         22.39"
"M&amp;M","EQ","21-May-2020","        405.05","        400.15","        412.20","        397.80","        406.60","        408.30","        406.56","    6249310","          2540707186.15","      78139","    1077115","         17.24"
"M&amp;M","EQ","22-May-2020","        408.30","        404.00","        430.35","        398.70","        426.40","        426.35","        416.73","   10016213","          4174083371.80","     110726","    2984328","         29.79"
"M&amp;M","EQ","26-May-2020","        426.35","        427.00","        435.20","        421.65","        426.90","        429.15","        429.31","    5895379","          2530969865.90","      86808","    1178133","         19.98"
